date,state,deathIncrease_cor
2020-07-18,AL,19.8571428571429
2020-07-19,AL,21.8571428571429
2020-07-20,AL,23.8571428571429
2020-07-21,AL,24.7142857142857
2020-07-22,AL,24.2857142857143
2020-07-23,AL,26.5714285714286
2020-07-24,AL,28.5714285714286
2020-07-25,AL,26.8571428571429
2020-07-26,AL,24.8571428571429
2020-07-27,AL,24
2020-07-28,AL,20.2857142857143
2020-07-29,AL,21
2020-07-30,AL,22
2020-07-31,AL,20.2857142857143
2020-08-01,AL,25
2020-08-02,AL,22.4285714285714
2020-08-03,AL,21.2857142857143
2020-08-04,AL,22.1428571428571
2020-08-05,AL,18.8571428571429
2020-08-06,AL,20.1428571428571
2020-08-07,AL,23.4285714285714
2020-08-08,AL,25.8571428571429
2020-08-09,AL,26.7142857142857
2020-08-10,AL,25.1428571428571
2020-08-11,AL,22.5714285714286
2020-08-12,AL,23
2020-08-13,AL,18.5714285714286
2020-08-14,AL,18.2857142857143
2020-08-15,AL,12.7142857142857
2020-08-16,AL,8.85714285714286
2020-08-17,AL,12
2020-08-18,AL,13.8571428571429
2020-08-19,AL,16.4285714285714
2020-08-20,AL,16.4285714285714
2020-08-21,AL,14.1428571428571
2020-08-22,AL,14.4285714285714
2020-08-23,AL,14.4285714285714
2020-08-24,AL,14.5714285714286
2020-08-25,AL,16.7142857142857
2020-08-26,AL,20.1428571428571
2020-08-27,AL,21.2857142857143
2020-08-28,AL,22.5714285714286
2020-08-29,AL,23.2857142857143
2020-08-30,AL,24.5714285714286
2020-08-31,AL,22.4285714285714
2020-09-01,AL,22.7142857142857
2020-09-02,AL,17.5714285714286
2020-09-03,AL,16.2857142857143
2020-09-04,AL,13.4285714285714
2020-09-05,AL,11
2020-09-06,AL,9.71428571428571
2020-09-07,AL,9.71428571428571
2020-09-08,AL,9.57142857142857
2020-09-09,AL,10.7142857142857
2020-09-10,AL,10.7142857142857
2020-09-11,AL,11.2857142857143
2020-09-12,AL,15.7142857142857
2020-09-13,AL,15.2857142857143
2020-09-14,AL,14.2857142857143
2020-09-15,AL,13.5714285714286
2020-09-16,AL,12.4285714285714
2020-09-17,AL,12.2857142857143
2020-09-18,AL,12
2020-09-19,AL,10
2020-09-20,AL,13.7142857142857
2020-09-21,AL,15
2020-09-22,AL,9
2020-09-23,AL,9.14285714285714
2020-09-24,AL,9.14285714285714
2020-09-25,AL,8.85714285714286
2020-09-26,AL,8.57142857142857
2020-09-27,AL,7.42857142857143
2020-09-28,AL,6
2020-09-29,AL,8.42857142857143
2020-09-30,AL,8.14285714285714
2020-10-01,AL,8.14285714285714
2020-10-02,AL,8.28571428571428
2020-10-03,AL,9
2020-10-04,AL,8.71428571428572
2020-10-05,AL,12.7142857142857
2020-10-06,AL,14.7142857142857
2020-10-07,AL,15.1428571428571
2020-10-08,AL,15.1428571428571
2020-10-09,AL,15.1428571428571
2020-10-10,AL,12.1428571428571
2020-10-11,AL,15
2020-10-12,AL,17
2020-10-13,AL,19
2020-10-14,AL,17.7142857142857
2020-10-15,AL,17.7142857142857
2020-10-16,AL,17.7142857142857
2020-10-17,AL,20
2020-10-18,AL,14.1428571428571
2020-10-19,AL,12.4285714285714
2020-10-20,AL,10.4285714285714
2020-10-21,AL,11.1428571428571
2020-10-22,AL,11.1428571428571
2020-10-23,AL,11
2020-10-24,AL,12.4285714285714
2020-10-25,AL,15.1428571428571
2020-10-26,AL,10.1428571428571
2020-10-27,AL,10.4285714285714
2020-10-28,AL,14.4285714285714
2020-10-29,AL,15.2857142857143
2020-10-30,AL,15.2857142857143
2020-10-31,AL,13.5714285714286
2020-11-01,AL,13.5714285714286
2020-11-02,AL,16
2020-11-03,AL,16.7142857142857
2020-11-04,AL,16.4285714285714
2020-11-05,AL,15.8571428571429
2020-11-06,AL,15.8571428571429
2020-11-07,AL,19
2020-11-08,AL,27.8571428571429
2020-11-09,AL,26.7142857142857
2020-11-10,AL,26
2020-11-11,AL,23.4285714285714
2020-11-12,AL,23.4285714285714
2020-11-13,AL,23.5714285714286
2020-11-14,AL,25.8571428571429
2020-11-15,AL,20.8571428571429
2020-11-16,AL,29.4285714285714
2020-11-17,AL,31.4285714285714
2020-11-18,AL,30.1428571428571
2020-11-19,AL,29.8571428571429
2020-11-20,AL,30
2020-11-21,AL,24.4285714285714
2020-11-22,AL,26.4285714285714
2020-11-23,AL,21.8571428571429
2020-11-24,AL,17.2857142857143
2020-11-25,AL,16.4285714285714
2020-11-26,AL,17.1428571428571
2020-11-27,AL,17
2020-11-28,AL,23.7142857142857
2020-11-29,AL,25.5714285714286
2020-11-30,AL,29.1428571428571
2020-12-01,AL,37
2020-12-02,AL,43.5714285714286
2020-12-03,AL,44.5714285714286
2020-12-04,AL,44.8571428571429
2020-12-05,AL,43.4285714285714
2020-12-06,AL,39.1428571428571
2020-12-07,AL,36.8571428571429
2020-12-08,AL,36.4285714285714
2020-12-09,AL,32.1428571428571
2020-12-10,AL,30.4285714285714
2020-12-11,AL,30
2020-12-12,AL,26
2020-12-13,AL,30.4285714285714
2020-12-14,AL,31.4285714285714
2020-12-15,AL,30
2020-12-16,AL,41
2020-12-17,AL,41
2020-12-18,AL,41
2020-12-19,AL,46.8571428571428
2020-12-20,AL,55.5714285714286
2020-12-21,AL,60.2857142857143
2020-12-22,AL,54.8571428571429
2020-12-23,AL,42.2857142857143
2020-12-24,AL,43.1428571428571
2020-12-25,AL,46.1428571428571
2020-12-26,AL,40.7142857142857
2020-12-27,AL,26.7142857142857
2020-12-28,AL,21.5714285714286
2020-12-29,AL,27.4285714285714
2020-12-30,AL,26.7142857142857
2020-12-31,AL,26
2021-01-01,AL,23.7142857142857
2021-01-02,AL,21.2857142857143
2021-01-03,AL,31.4285714285714
2021-01-04,AL,36.1428571428571
2021-01-05,AL,45.5714285714286
2021-01-06,AL,61
2021-01-07,AL,65.8571428571429
2021-01-08,AL,67
2021-01-09,AL,98.1428571428571
2021-01-10,AL,109.428571428571
2021-01-11,AL,123.571428571429
2021-01-12,AL,119.857142857143
2021-01-13,AL,117.142857142857
2021-01-14,AL,112.285714285714
2021-01-15,AL,110.571428571429
2021-01-16,AL,79
2021-01-17,AL,74.7142857142857
2021-01-18,AL,62
2021-01-19,AL,65.1428571428571
2021-01-20,AL,76.8571428571429
2021-01-21,AL,77.1428571428571
2021-01-22,AL,77.2857142857143
2021-01-23,AL,110
2021-01-24,AL,127
2021-01-25,AL,137.285714285714
2021-01-26,AL,154.285714285714
2021-01-27,AL,129.857142857143
2021-01-28,AL,146.857142857143
2021-01-29,AL,146.571428571429
2021-01-30,AL,142.571428571429
2021-01-31,AL,147.285714285714
2021-02-01,AL,146.428571428571
2021-02-02,AL,126.142857142857
2021-02-03,AL,135.285714285714
2021-02-04,AL,118.142857142857
2021-02-05,AL,119.285714285714
2021-02-06,AL,97.8571428571429
2021-02-07,AL,67.6938775510204
2021-02-08,AL,58.530612244898
2021-02-09,AL,60.5102040816326
2020-03-06,AR,0
2020-03-07,AR,0
2020-03-08,AR,0
2020-03-09,AR,0
2020-03-10,AR,0
2020-03-11,AR,0
2020-03-12,AR,0
2020-03-13,AR,0
2020-03-14,AR,0
2020-03-15,AR,0
2020-03-16,AR,0
2020-03-17,AR,0
2020-03-18,AR,0
2020-03-19,AR,0
2020-03-20,AR,0
2020-03-21,AR,0
2020-03-22,AR,0.285714285714286
2020-03-23,AR,0.428571428571428
2020-03-24,AR,0.428571428571428
2020-03-25,AR,0.714285714285714
2020-03-26,AR,0.857142857142857
2020-03-27,AR,1
2020-03-28,AR,1.14285714285714
2020-03-29,AR,1.14285714285714
2020-03-30,AR,1.28571428571429
2020-03-31,AR,1.28571428571429
2020-04-01,AR,1.28571428571429
2020-04-02,AR,1.42857142857143
2020-04-03,AR,1.28571428571429
2020-04-04,AR,1.14285714285714
2020-04-05,AR,1.14285714285714
2020-04-06,AR,1.28571428571429
2020-04-07,AR,1.57142857142857
2020-04-08,AR,1.42857142857143
2020-04-09,AR,1.57142857142857
2020-04-10,AR,2
2020-04-11,AR,2
2020-04-12,AR,2.14285714285714
2020-04-13,AR,2.28571428571429
2020-04-14,AR,2
2020-04-15,AR,2
2020-04-16,AR,1.85714285714286
2020-04-17,AR,1.71428571428571
2020-04-18,AR,1.85714285714286
2020-04-19,AR,1.28571428571429
2020-04-20,AR,1.14285714285714
2020-04-21,AR,1.14285714285714
2020-04-22,AR,1.28571428571429
2020-04-23,AR,1.28571428571429
2020-04-24,AR,1.14285714285714
2020-04-25,AR,1.28571428571429
2020-04-26,AR,2.42857142857143
2020-04-27,AR,2.28571428571429
2020-04-28,AR,2.71428571428571
2020-04-29,AR,3.71428571428571
2020-04-30,AR,3.85714285714286
2020-05-01,AR,4.42857142857143
2020-05-02,AR,4.42857142857143
2020-05-03,AR,3.71428571428571
2020-05-04,AR,3.71428571428571
2020-05-05,AR,3.42857142857143
2020-05-06,AR,2.14285714285714
2020-05-07,AR,1.71428571428571
2020-05-08,AR,1.85714285714286
2020-05-09,AR,1.71428571428571
2020-05-10,AR,1.42857142857143
2020-05-11,AR,1.42857142857143
2020-05-12,AR,1.42857142857143
2020-05-13,AR,1.42857142857143
2020-05-14,AR,1.42857142857143
2020-05-15,AR,0.857142857142857
2020-05-16,AR,1
2020-05-17,AR,1.71428571428571
2020-05-18,AR,1.85714285714286
2020-05-19,AR,2.14285714285714
2020-05-20,AR,2.14285714285714
2020-05-21,AR,2.57142857142857
2020-05-22,AR,2.42857142857143
2020-05-23,AR,2.42857142857143
2020-05-24,AR,1.85714285714286
2020-05-25,AR,1.42857142857143
2020-05-26,AR,1.71428571428571
2020-05-27,AR,2.85714285714286
2020-05-28,AR,2.42857142857143
2020-05-29,AR,2.28571428571429
2020-05-30,AR,2
2020-05-31,AR,3.14285714285714
2020-06-01,AR,3.14285714285714
2020-06-02,AR,3.85714285714286
2020-06-03,AR,3
2020-06-04,AR,3
2020-06-05,AR,3.14285714285714
2020-06-06,AR,4
2020-06-07,AR,3.28571428571429
2020-06-08,AR,4.14285714285714
2020-06-09,AR,3.42857142857143
2020-06-10,AR,3.14285714285714
2020-06-11,AR,3.57142857142857
2020-06-12,AR,3.85714285714286
2020-06-13,AR,3
2020-06-14,AR,4.57142857142857
2020-06-15,AR,5.28571428571429
2020-06-16,AR,5.42857142857143
2020-06-17,AR,6.85714285714286
2020-06-18,AR,6.42857142857143
2020-06-19,AR,6.42857142857143
2020-06-20,AR,7.85714285714286
2020-06-21,AR,6.14285714285714
2020-06-22,AR,4.57142857142857
2020-06-23,AR,3.71428571428571
2020-06-24,AR,3.57142857142857
2020-06-25,AR,5
2020-06-26,AR,5.42857142857143
2020-06-27,AR,4.71428571428571
2020-06-28,AR,5.28571428571429
2020-06-29,AR,5.57142857142857
2020-06-30,AR,5.85714285714286
2020-07-01,AR,5.28571428571428
2020-07-02,AR,3.85714285714286
2020-07-03,AR,3.85714285714286
2020-07-04,AR,3.14285714285714
2020-07-05,AR,3.42857142857143
2020-07-06,AR,4.28571428571429
2020-07-07,AR,4.57142857142857
2020-07-08,AR,3.85714285714286
2020-07-09,AR,5
2020-07-10,AR,4.42857142857143
2020-07-11,AR,5.57142857142857
2020-07-12,AR,4.85714285714286
2020-07-13,AR,4.57142857142857
2020-07-14,AR,5.71428571428571
2020-07-15,AR,5.71428571428571
2020-07-16,AR,5.14285714285714
2020-07-17,AR,4.85714285714286
2020-07-18,AR,6.14285714285714
2020-07-19,AR,6.42857142857143
2020-07-20,AR,6.42857142857143
2020-07-21,AR,5.85714285714286
2020-07-22,AR,5.85714285714286
2020-07-23,AR,6.28571428571429
2020-07-24,AR,7.28571428571429
2020-07-25,AR,7.71428571428572
2020-07-26,AR,7.71428571428571
2020-07-27,AR,8
2020-07-28,AR,8.42857142857143
2020-07-29,AR,9.42857142857143
2020-07-30,AR,8.14285714285714
2020-07-31,AR,9.57142857142857
2020-08-01,AR,8.85714285714286
2020-08-02,AR,10.5714285714286
2020-08-03,AR,10.4285714285714
2020-08-04,AR,9.71428571428572
2020-08-05,AR,8.71428571428572
2020-08-06,AR,12.2857142857143
2020-08-07,AR,11.4285714285714
2020-08-08,AR,10.8571428571429
2020-08-09,AR,8.28571428571428
2020-08-10,AR,9.57142857142857
2020-08-11,AR,9.42857142857143
2020-08-12,AR,11.2857142857143
2020-08-13,AR,7.85714285714286
2020-08-14,AR,6.85714285714286
2020-08-15,AR,7.57142857142857
2020-08-16,AR,9.28571428571428
2020-08-17,AR,8.42857142857143
2020-08-18,AR,10.8571428571429
2020-08-19,AR,10.5714285714286
2020-08-20,AR,12.5714285714286
2020-08-21,AR,13.2857142857143
2020-08-22,AR,13.1428571428571
2020-08-23,AR,14.4285714285714
2020-08-24,AR,14
2020-08-25,AR,13.2857142857143
2020-08-26,AR,14
2020-08-27,AR,13.8571428571429
2020-08-28,AR,14.4285714285714
2020-08-29,AR,14.7142857142857
2020-08-30,AR,15.5714285714286
2020-08-31,AR,17.4285714285714
2020-09-01,AR,16.7142857142857
2020-09-02,AR,15.7142857142857
2020-09-03,AR,15.7142857142857
2020-09-04,AR,15.8571428571429
2020-09-05,AR,14.7142857142857
2020-09-06,AR,12.4285714285714
2020-09-07,AR,11.2857142857143
2020-09-08,AR,11.4285714285714
2020-09-09,AR,12.4285714285714
2020-09-10,AR,12.4285714285714
2020-09-11,AR,12
2020-09-12,AR,13.2857142857143
2020-09-13,AR,32.7142857142857
2020-09-14,AR,32.2857142857143
2020-09-15,AR,31.4285714285714
2020-09-16,AR,29.1428571428571
2020-09-17,AR,28.5714285714286
2020-09-18,AR,29.2857142857143
2020-09-19,AR,28.4285714285714
2020-09-20,AR,10.2857142857143
2020-09-21,AR,11.4285714285714
2020-09-22,AR,13.2857142857143
2020-09-23,AR,16
2020-09-24,AR,18.1428571428571
2020-09-25,AR,18.8571428571429
2020-09-26,AR,20.1428571428571
2020-09-27,AR,20
2020-09-28,AR,19.7142857142857
2020-09-29,AR,17.8571428571429
2020-09-30,AR,17.4285714285714
2020-10-01,AR,16.7142857142857
2020-10-02,AR,16.8571428571429
2020-10-03,AR,13.8571428571429
2020-10-04,AR,16.1428571428571
2020-10-05,AR,17
2020-10-06,AR,16
2020-10-07,AR,20.7142857142857
2020-10-08,AR,20.5714285714286
2020-10-09,AR,19.8571428571429
2020-10-10,AR,23.4285714285714
2020-10-11,AR,21.7142857142857
2020-10-12,AR,20.2857142857143
2020-10-13,AR,23.1428571428571
2020-10-14,AR,18.8571428571429
2020-10-15,AR,19.2857142857143
2020-10-16,AR,18.2857142857143
2020-10-17,AR,16.7142857142857
2020-10-18,AR,16.7142857142857
2020-10-19,AR,18.1428571428571
2020-10-20,AR,16.7142857142857
2020-10-21,AR,16.1428571428571
2020-10-22,AR,15.4285714285714
2020-10-23,AR,17
2020-10-24,AR,18.4285714285714
2020-10-25,AR,17.7142857142857
2020-10-26,AR,17.4285714285714
2020-10-27,AR,16.8571428571429
2020-10-28,AR,18.2857142857143
2020-10-29,AR,16.1428571428571
2020-10-30,AR,21.7142857142857
2020-10-31,AR,20.8571428571429
2020-11-01,AR,21.5714285714286
2020-11-02,AR,20.4285714285714
2020-11-03,AR,22.2857142857143
2020-11-04,AR,20.4285714285714
2020-11-05,AR,22.8571428571429
2020-11-06,AR,17.5714285714286
2020-11-07,AR,15.5714285714286
2020-11-08,AR,14.2857142857143
2020-11-09,AR,15.2857142857143
2020-11-10,AR,13.1428571428571
2020-11-11,AR,11.4285714285714
2020-11-12,AR,14
2020-11-13,AR,16.7142857142857
2020-11-14,AR,19
2020-11-15,AR,21.2857142857143
2020-11-16,AR,21.8571428571429
2020-11-17,AR,24.7142857142857
2020-11-18,AR,27
2020-11-19,AR,24.8571428571429
2020-11-20,AR,23.1428571428571
2020-11-21,AR,22.8571428571429
2020-11-22,AR,21.4285714285714
2020-11-23,AR,19.8571428571429
2020-11-24,AR,16.4285714285714
2020-11-25,AR,16
2020-11-26,AR,16.1428571428571
2020-11-27,AR,16.4285714285714
2020-11-28,AR,15.2857142857143
2020-11-29,AR,13.8571428571429
2020-11-30,AR,17
2020-12-01,AR,21.4285714285714
2020-12-02,AR,24.4285714285714
2020-12-03,AR,27.1428571428571
2020-12-04,AR,30.1428571428571
2020-12-05,AR,34.2857142857143
2020-12-06,AR,37.7142857142857
2020-12-07,AR,37.8571428571429
2020-12-08,AR,41.2857142857143
2020-12-09,AR,41.5714285714286
2020-12-10,AR,40.7142857142857
2020-12-11,AR,39.5714285714286
2020-12-12,AR,37.7142857142857
2020-12-13,AR,41.1428571428571
2020-12-14,AR,41.7142857142857
2020-12-15,AR,37.7142857142857
2020-12-16,AR,40
2020-12-17,AR,41.7142857142857
2020-12-18,AR,43.5714285714286
2020-12-19,AR,46
2020-12-20,AR,43.1428571428571
2020-12-21,AR,42
2020-12-22,AR,42.7142857142857
2020-12-23,AR,35.7142857142857
2020-12-24,AR,35
2020-12-25,AR,34.5714285714286
2020-12-26,AR,37.8571428571428
2020-12-27,AR,37.2857142857143
2020-12-28,AR,38.5714285714286
2020-12-29,AR,39
2020-12-30,AR,41.1428571428571
2020-12-31,AR,38.1428571428571
2021-01-01,AR,37.5714285714286
2021-01-02,AR,33.2857142857143
2021-01-03,AR,37.7142857142857
2021-01-04,AR,35.7142857142857
2021-01-05,AR,36.4285714285714
2021-01-06,AR,40.1428571428571
2021-01-07,AR,42
2021-01-08,AR,40.1428571428571
2021-01-09,AR,40.7142857142857
2021-01-10,AR,40.7142857142857
2021-01-11,AR,43.1428571428571
2021-01-12,AR,42.4285714285714
2021-01-13,AR,40.4285714285714
2021-01-14,AR,38.2857142857143
2021-01-15,AR,37.4285714285714
2021-01-16,AR,37.8571428571429
2021-01-17,AR,36.4285714285714
2021-01-18,AR,38.2857142857143
2021-01-19,AR,40.8571428571429
2021-01-20,AR,38.5714285714286
2021-01-21,AR,42.1428571428571
2021-01-22,AR,43.8571428571429
2021-01-23,AR,43.4285714285714
2021-01-24,AR,43
2021-01-25,AR,41.1428571428571
2021-01-26,AR,40.2857142857143
2021-01-27,AR,39.2857142857143
2021-01-28,AR,37.4285714285714
2021-01-29,AR,35
2021-01-30,AR,35.5714285714286
2021-01-31,AR,34.7142857142857
2021-02-01,AR,32.1428571428571
2021-02-02,AR,31.2857142857143
2021-02-03,AR,31.8571428571429
2021-02-04,AR,29.7142857142857
2021-02-05,AR,30.1428571428571
2021-02-06,AR,29.8571428571429
2021-02-07,AR,27.5510204081633
2021-02-08,AR,28.3877551020408
2021-02-09,AR,26.7959183673469
2020-03-04,AZ,0
2020-03-05,AZ,0
2020-03-06,AZ,0
2020-03-07,AZ,0
2020-03-08,AZ,0
2020-03-09,AZ,0
2020-03-10,AZ,0
2020-03-11,AZ,0
2020-03-12,AZ,0
2020-03-13,AZ,0
2020-03-14,AZ,0
2020-03-15,AZ,0
2020-03-16,AZ,0
2020-03-17,AZ,0
2020-03-18,AZ,0.142857142857143
2020-03-19,AZ,0.285714285714286
2020-03-20,AZ,0.285714285714286
2020-03-21,AZ,0.714285714285714
2020-03-22,AZ,0.857142857142857
2020-03-23,AZ,1.14285714285714
2020-03-24,AZ,1.85714285714286
2020-03-25,AZ,2
2020-03-26,AZ,2.14285714285714
2020-03-27,AZ,2.57142857142857
2020-03-28,AZ,2.71428571428571
2020-03-29,AZ,3.28571428571429
2020-03-30,AZ,3.42857142857143
2020-03-31,AZ,4
2020-04-01,AZ,5.28571428571429
2020-04-02,AZ,6.71428571428571
2020-04-03,AZ,6.42857142857143
2020-04-04,AZ,7
2020-04-05,AZ,7.28571428571428
2020-04-06,AZ,8.14285714285714
2020-04-07,AZ,8
2020-04-08,AZ,8
2020-04-09,AZ,7.28571428571429
2020-04-10,AZ,8.14285714285714
2020-04-11,AZ,8.28571428571428
2020-04-12,AZ,8.85714285714286
2020-04-13,AZ,8.71428571428571
2020-04-14,AZ,10.2857142857143
2020-04-15,AZ,9.85714285714286
2020-04-16,AZ,9.85714285714285
2020-04-17,AZ,9.28571428571428
2020-04-18,AZ,11
2020-04-19,AZ,12.4285714285714
2020-04-20,AZ,14.1428571428571
2020-04-21,AZ,13.8571428571429
2020-04-22,AZ,12.7142857142857
2020-04-23,AZ,13
2020-04-24,AZ,12.5714285714286
2020-04-25,AZ,12.1428571428571
2020-04-26,AZ,10.7142857142857
2020-04-27,AZ,10.1428571428571
2020-04-28,AZ,9.14285714285714
2020-04-29,AZ,11.7142857142857
2020-04-30,AZ,12.4285714285714
2020-05-01,AZ,12.4285714285714
2020-05-02,AZ,14.5714285714286
2020-05-03,AZ,17.4285714285714
2020-05-04,AZ,18.5714285714286
2020-05-05,AZ,26.7142857142857
2020-05-06,AZ,26.2857142857143
2020-05-07,AZ,24.8571428571429
2020-05-08,AZ,25.7142857142857
2020-05-09,AZ,23.8571428571429
2020-05-10,AZ,24
2020-05-11,AZ,24.8571428571429
2020-05-12,AZ,19.1428571428571
2020-05-13,AZ,21
2020-05-14,AZ,20.5714285714286
2020-05-15,AZ,20.5714285714286
2020-05-16,AZ,20.2857142857143
2020-05-17,AZ,21.8571428571429
2020-05-18,AZ,19.8571428571429
2020-05-19,AZ,17.7142857142857
2020-05-20,AZ,17.1428571428571
2020-05-21,AZ,17.1428571428571
2020-05-22,AZ,17.1428571428571
2020-05-23,AZ,14.7142857142857
2020-05-24,AZ,12
2020-05-25,AZ,13.4285714285714
2020-05-26,AZ,15.7142857142857
2020-05-27,AZ,14.8571428571429
2020-05-28,AZ,15.1428571428571
2020-05-29,AZ,15.8571428571429
2020-05-30,AZ,19.1428571428571
2020-05-31,AZ,21.4285714285714
2020-06-01,AZ,19.8571428571429
2020-06-02,AZ,18.1428571428571
2020-06-03,AZ,19.8571428571429
2020-06-04,AZ,19.7142857142857
2020-06-05,AZ,18.5714285714286
2020-06-06,AZ,18.4285714285714
2020-06-07,AZ,16.2857142857143
2020-06-08,AZ,18.7142857142857
2020-06-09,AZ,18.8571428571429
2020-06-10,AZ,20.1428571428571
2020-06-11,AZ,20.2857142857143
2020-06-12,AZ,21
2020-06-13,AZ,21.2857142857143
2020-06-14,AZ,20.5714285714286
2020-06-15,AZ,20.5714285714286
2020-06-16,AZ,24
2020-06-17,AZ,22.1428571428571
2020-06-18,AZ,21.8571428571429
2020-06-19,AZ,21.1428571428571
2020-06-20,AZ,23.5714285714286
2020-06-21,AZ,32
2020-06-22,AZ,31.2857142857143
2020-06-23,AZ,31.8571428571429
2020-06-24,AZ,34.4285714285714
2020-06-25,AZ,35.5714285714286
2020-06-26,AZ,35.1428571428571
2020-06-27,AZ,35.4285714285714
2020-06-28,AZ,36.7142857142857
2020-06-29,AZ,38.1428571428571
2020-06-30,AZ,36.1428571428571
2020-07-01,AZ,32.2857142857143
2020-07-02,AZ,31.5714285714286
2020-07-03,AZ,31.7142857142857
2020-07-04,AZ,42.1428571428571
2020-07-05,AZ,34.7142857142857
2020-07-06,AZ,40.1428571428571
2020-07-07,AZ,42
2020-07-08,AZ,49.4285714285714
2020-07-09,AZ,61.1428571428571
2020-07-10,AZ,62.1428571428571
2020-07-11,AZ,58.5714285714286
2020-07-12,AZ,67.2857142857143
2020-07-13,AZ,64.8571428571428
2020-07-14,AZ,71.5714285714286
2020-07-15,AZ,82.7142857142857
2020-07-16,AZ,74.8571428571429
2020-07-17,AZ,77
2020-07-18,AZ,83
